Restaurant Name,Location,Type of Cuisine,lat,lon,Address,Phone Number,Opening Hours
Yakiniku Otoko,Multiple locations,Japanese,22.3068805,114.2561653,"Hong Kong, Tseung Kwan O, Tong Tak St, 9號, Park Central, 1樓135號舖",9767 1789,"SUN:1100~2230
MON:1130~2230
TUE:1130~2230
WED:1130~2230
THU:1130~2230
FRI:1130~2230
SAT:1100~0030"
Yakiniku Shin,Tsim Sha Tsui,Japanese,22.2983375,114.1743575,"Shop 102, 1/F, Multifield Plaza, 3-7A Prat Ave, Tsim Sha Tsui, Hong Kong",2518 3828,"SUN:1300~1600, 1700~2300
MON:1300~1600, 1700~2300
TUE:1300~1600, 1700~2300
WED:1300~1600, 1700~2300
THU:1300~1600, 1700~2300
FRI:1300~1600, 1700~2300
SAT:1300~1600, 1700~2300"
Yakiniku Ushio,Central,Japanese,22.280824,114.1560904,"Wellington Place, 2-8 Wellington St, Central, Hong Kong",2328 2318,"SUN:1200~1500, 1800~2230
MON:1200~1500, 1800~2230
TUE:1200~1500, 1800~2230
WED:1200~1500, 1800~2230
THU:1200~1500, 1800~2230
FRI:1200~1500, 1800~2230
SAT:1200~1500, 1800~2230"
YASHIMA,Central,Japanese,22.2845699,114.1530312,"G/F, 2-4 Kau U Fong, Central, Hong Kong",2328 8089,"SUN:1200~1500, 1800~2300
MON:1200~1500, 1800~2300
TUE:1200~1500, 1800~2300
WED:1200~1500, 1800~2300
THU:1200~1500, 1800~2300
FRI:1200~1500, 1800~2300
SAT:1200~1500, 1800~2300"
Ying Jee Club,Central,Chinese,22.2843176,114.1565628,"Shop G05, 107-108, Nexxus Building, 41 Connaught Rd Central, Central, Hong Kong",2801 6882,"SUN:1130~1500, 1800~2300
MON:1130~1500, 1800~2300
TUE:1130~1500, 1800~2300
WED:1130~1500, 1800~2300
THU:1130~1500, 1800~2300
FRI:1130~1500, 1800~2300
SAT:1130~1500, 1800~2300"
YinYue,Tsuen Wan,Chinese,22.3690715,114.1210027,"Hong Kong, Tsuen Wan, Tsuen Wah St, 3號, 30, 號 悅 來 酒店",2409 3182,"SUN:1000~1530, 1800~2230
MON:1100~1500, 1800~2230
TUE:1100~1500, 1800~2230
WED:1100~1500, 1800~2230
THU:1100~1500, 1800~2230
FRI:1100~1500, 1800~2230
SAT:1100~1500, 1800~2230"
Yurakucho,Central,Japanese,22.280928,114.1549201,"G/F, Yu Yuet Lai Building, 43-55 Wyndham St, Central, Hong Kong",2663 0068,"MON:1200~0000
TUE:1200~0000
WED:1200~0000
THU:1200~0000
FRI:1200~0200
SAT:1200~0200"
Zenon Cafe,Central,Café,22.282702,114.1546736,"86號 Wellington St, Central, Hong Kong",3425 4488,"SUN:0930~2130
MON:0930~2130
TUE:0930~2130
WED:0930~2130
THU:0930~2130
FRI:0930~2230
SAT:0930~2230"
Zoku Restaurant & The Terrace,Wan Chai,International,22.2789052,114.1781576,"2/F, 330 Lockhart Rd, Wan Chai, Hong Kong",2129 0338,"SUN:1200~2300
MON:1200~1430, 1500~2300
TUE:1200~1430, 1500~2300
WED:1200~1430, 1500~2300
THU:1200~1430, 1500~2300
FRI:1200~1430, 1500~2300
SAT:1200~2300"
ZZURA,Central,Japanese,22.28220109999999,114.1540188,"2/F, Amber Lodge, 23 Hollywood Rd, Central, Hong Kong",2639 9155,"SUN:1600~0000
TUE:1600~0000
WED:1600~0000
THU:1700~0100
FRI:1700~0200
SAT:1700~0200"
